Hyggerium - Millenia Walk ,'latitude': 1.29153, 'longitude': 103.859727
Tandoori Restaurant - South Bridge Road ,'latitude': 1.287651, 'longitude': 103.848166
Jollibean Vegan - Raffles Place MRT Station ,'latitude': 1.283177540378955, 'longitude': 103.85130784036153
Beyond Pancakes - Marina Square ,'latitude': 1.290952201228217, 'longitude': 103.85749984
Chura Sushi Bar - Suntec City Mall ,'latitude': 1.292883, 'longitude': 103.856836
Haagen-Dazs - Funan ,'latitude': 1.29128860338776, 'longitude': 103.850389532962
Cellarbration - Marina Square ,'latitude': 1.2919196, 'longitude': 103.8577312
Pick & Go - Singapore Management University ,'latitude': 1.295921, 'longitude': 103.850351
Hyggerium - Millenia Walk ,'latitude': 1.29153, 'longitude': 103.859727
Selera Cuppage - Cuppage Plaza ,'latitude': 1.3019588142857144, 'longitude': 103.84051956
Dal.komm Coffee - The Centrepoint ,'latitude': 1.3013998, 'longitude': 103.83985234
City Fruits 2 - Tanjong Pagar Plaza🏍 ,'latitude': 1.2767087416297132, 'longitude': 103.843141311127 06
Lady M - Orchard Central ,'latitude': 1.3006691, 'longitude': 103.83972328
Kanshoku Ramen - Orchard Gateway ,'latitude': 1.3005962555555555, 'longitude': 103.8392665
Save Mart - Kreta Ayer Road ,'latitude': 1.2812851, 'longitude': 103.8421888
Salaam Namaste Indian Restaurant & Kebab Corner - Hoe Chiang Road ,'latitude': 1.27396, 'longitude': 103.84252
Mrs Pho Kitchen - 313 @ Somerset ,'latitude': 1.3005907814694, 'longitude': 103.838367380385
Dont Yell At Me - Orchard Central ,'latitude': 1.300467, 'longitude': 103.838849
King Kebab North Indian Restruant - South Bridge Road ,'latitude': 1.287651, 'longitude': 103.848166
Curry Village - Authentic North Indian Cuisine ,'latitude': 1.286321663976937, 'longitude': 103.84963428122043
Namaste Madras Kebab & Curry Indian Cuisine - South Bridge Road 🏍 ,'latitude': 1.287651, 'longitude ': 103.848166
The Biryani Bar by Milind Sovani - Ascott Singapore Raffles Place ,'latitude': 1.28218681778169, 'longitude': 103.85181215708
The Handburger - Raffles Place MRT Station ,'latitude': 1.28317754037895, 'longitude': 103.851307840362
Jammy's™ - Guiltless Pleasures - Robinson Suites ,'latitude': 1.28090311, 'longitude': 103.849731
Jollibean - Raffles Place MRT ,'latitude': 1.28385684, 'longitude': 103.8514851
D'Life - Orchard Gateway ,'latitude': 1.300502, 'longitude': 103.838946
Chocoelf - South Bridge Road ,'latitude': 1.282856, 'longitude': 103.845453
Cafe Pandan - Outram Road ,'latitude': 1.2846457, 'longitude': 103.83505423998504
Francesca's - 313 @ Somerset ,'latitude': 1.300591, 'longitude': 103.838367
Kaffe & Toast - Outram ,'latitude': 1.2786260464078936, 'longitude': 103.8360144425813
Sweetea Caffe - Trengganu Street ,'latitude': 1.282831, 'longitude': 103.84421
GudSht - Cathay Cineleisure Orchard [Islandwide Delivery] ,'latitude': 1.3013816256302277, 'longitude': 103.83621855007317
Indulge - Tiong Bahru View ,'latitude': 1.28648485281361, 'longitude': 103.829735653099
D'Life - Orchard Gateway ,'latitude': 1.300502, 'longitude': 103.838946
Chocoelf - South Bridge Road ,'latitude': 1.282856, 'longitude': 103.845453
Cafe Pandan - Outram Road ,'latitude': 1.2846457, 'longitude': 103.83505423998504
Francesca's - 313 @ Somerset ,'latitude': 1.300591, 'longitude': 103.838367
Kaffe & Toast - Outram ,'latitude': 1.2786260464078936, 'longitude': 103.8360144425813
Sweetea Caffe - Trengganu Street ,'latitude': 1.282831, 'longitude': 103.84421
GudSht - Cathay Cineleisure Orchard [Islandwide Delivery] ,'latitude': 1.3013816256302277, 'longitude': 103.83621855007317
Indulge - Tiong Bahru View ,'latitude': 1.28648485281361, 'longitude': 103.829735653099
